v_net_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,long_term_r2c_ratio,long_term_time_r2c_ratio,num_running_p_net_nodes,event_id,event_type,event_time,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,v_net_id,v_net_lifetime,v_net_arrival_time,v_net_num_nodes,v_net_num_egdes,result,node_slots,link_paths,node_slots_info,link_paths_info,v_net_cost,v_net_revenue,v_net_demand,v_net_node_demand,v_net_link_demand,v_net_node_revenue,v_net_link_revenue,v_net_node_cost,v_net_link_cost,v_net_path_cost,v_net_r2c_ratio,v_net_time_cost,v_net_time_revenue,v_net_time_rc_ratio,description,v_net_total_hard_constraint_violation,v_net_single_step_constraint_offset,v_net_constraint_offsets,v_net_constraint_violations,v_net_single_step_violation_list,v_net_single_step_hard_constraint_offset,v_net_max_single_step_hard_constraint_violation,place_result,route_result,early_rejection,revoke_times,selected_actions,num_interactions,v_net_reward,num_placed_nodes,num_routed_links
1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,16.0,41858,7660,34198,0.0,0.0,0,69.01953183544195,16.0,9,18,False,"{0: 0, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8}","{(0, 1): [(0, 1)], (0, 2): [(0, 40), (40, 2)], (0, 3): [(0, 5), (5, 93), (93, 3)], (0, 4): [(0, 17), (17, 4)], (0, 5): [(0, 72), (72, 5)], (0, 6): []}","{(0, 0): {'cpu': 1}, (1, 1): {'cpu': 17}, (2, 2): {'cpu': 1}, (3, 3): {'cpu': 4}, (4, 4): {'cpu': 16}, (5, 5): {'cpu': 8}, (6, 6): {'cpu': 17}, (7, 7): {'cpu': 8}, (8, 8): {'cpu': 1}}","{((0, 1), (0, 1)): {'bw': 32}, ((0, 2), (0, 40)): {'bw': 22}, ((0, 2), (40, 2)): {'bw': 22}, ((0, 3), (0, 5)): {'bw': 48}, ((0, 3), (5, 93)): {'bw': 48}, ((0, 3), (93, 3)): {'bw': 48}, ((0, 4), (0, 17)): {'bw': 49}, ((0, 4), (17, 4)): {'bw': 49}, ((0, 5), (0, 72)): {'bw': 17}, ((0, 5), (72, 5)): {'bw': 17}}",0.0,0.0,480.0,73.0,407.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,10.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -95}, 1: {'cpu': -38}, 2: {'cpu': -50}, 3: {'cpu': -86}, 4: {'cpu': -57}, 5: {'cpu': -50}, 6: {'cpu': -83}, 7: {'cpu': -51}, 8: {'cpu': -88}}, 'link_level': {(0, 1): {'bw': -35}, (0, 2): {'bw': -28}, (0, 3): {'bw': -7}, (0, 4): {'bw': -12}, (0, 5): {'bw': -49}, (0, 6): {'bw': 10}}, 'path_level': {(0, 1): {'latency': -8.28847602827731}, (0, 2): {'latency': -6.3529883714241695}, (0, 3): {'latency': -1.7019701963252594}, (0, 4): {'latency': -10.040752059248387}, (0, 5): {'latency': -6.616800124913468}, (0, 6): {'latency': 8.090743349278839}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}, 5: {'cpu': 0}, 6: {'cpu': 0}, 7: {'cpu': 0}, 8: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 2): {'bw': 0}, (0, 3): {'bw': 0}, (0, 4): {'bw': 0}, (0, 5): {'bw': 0}, (0, 6): {'bw': 10}}, 'path_level': {(0, 1): {'latency': 0}, (0, 2): {'latency': 0}, (0, 3): {'latency': 0}, (0, 4): {'latency': 0}, (0, 5): {'latency': 0}, (0, 6): {'latency': 8.090743349278839}}}",[],0.0,0.0,True,False,False,0,[],0,0.0,9.0,6.0
2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,27.0,41858,7660,34198,0.0,0.0,1,889.3291322410356,27.0,7,11,False,"{0: 0, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6}","{(0, 6): []}","{(0, 0): {'cpu': 16}, (1, 1): {'cpu': 1}, (2, 2): {'cpu': 12}, (3, 3): {'cpu': 14}, (4, 4): {'cpu': 15}, (5, 5): {'cpu': 8}, (6, 6): {'cpu': 1}}",{},0.0,0.0,300.0,67.0,233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,12.217105149243736,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -80}, 1: {'cpu': -54}, 2: {'cpu': -39}, 3: {'cpu': -76}, 4: {'cpu': -58}, 5: {'cpu': -50}, 6: {'cpu': -99}}, 'link_level': {(0, 6): {'bw': -13}}, 'path_level': {(0, 6): {'latency': 12.217105149243736}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}, 5: {'cpu': 0}, 6: {'cpu': 0}}, 'link_level': {(0, 6): {'bw': 0}}, 'path_level': {(0, 6): {'latency': 12.217105149243736}}}",[],0.0,0.0,True,False,False,0,[],0,0.0,7.0,1.0
3,1,1,71.0,95.0,54858.32208108269,73401.98024933599,0.7473684210526316,0.7473684210526316,3,2,1,37.0,41763,7627,34136,0.0043080939947780506,0.00181297151880222,2,772.652423677221,37.0,3,2,True,"{0: 0, 1: 1, 2: 2}","{(0, 1): [(0, 1)], (1, 2): [(1, 61), (61, 2)]}","{(0, 0): {'cpu': 6}, (1, 1): {'cpu': 12}, (2, 2): {'cpu': 15}}","{((0, 1), (0, 1)): {'bw': 14}, ((1, 2), (1, 61)): {'bw': 24}, ((1, 2), (61, 2)): {'bw': 24}}",95.0,71.0,71.0,33.0,38.0,33.0,38.0,33.0,62.0,24.0,0.7473684210526316,73401.98024933599,54858.32208108269,577.4560219061336,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -90}, 1: {'cpu': -43}, 2: {'cpu': -36}}, 'link_level': {(0, 1): {'bw': -53}, (1, 2): {'bw': -35}}, 'path_level': {(0, 1): {'latency': -11.996893077056809}, (1, 2): {'latency': -7.918841559402663}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (1, 2): {'bw': 0}}, 'path_level': {(0, 1): {'latency': 0}, (1, 2): {'latency': 0}}}",[],0.0,0.0,True,True,False,0,[],0,0.0,3.0,2.0
4,1,1,71.0,95.0,54858.32208108269,73401.98024933599,0.7473684210526316,0.7473684210526316,3,3,1,46.0,41763,7627,34136,0.0043080939947780506,0.00181297151880222,3,585.0178031143265,46.0,10,27,False,"{0: 0, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8, 9: 9}","{(0, 1): [(0, 1)], (0, 3): [(0, 17), (17, 30), (30, 3)], (0, 6): []}","{(0, 0): {'cpu': 3}, (1, 1): {'cpu': 6}, (2, 2): {'cpu': 19}, (3, 3): {'cpu': 14}, (4, 4): {'cpu': 11}, (5, 5): {'cpu': 17}, (6, 6): {'cpu': 16}, (7, 7): {'cpu': 2}, (8, 8): {'cpu': 19}, (9, 9): {'cpu': 14}}","{((0, 1), (0, 1)): {'bw': 39}, ((0, 3), (0, 17)): {'bw': 45}, ((0, 3), (17, 30)): {'bw': 45}, ((0, 3), (30, 3)): {'bw': 45}}",0.0,0.0,864.0,121.0,743.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,23.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -87}, 1: {'cpu': -37}, 2: {'cpu': -17}, 3: {'cpu': -76}, 4: {'cpu': -62}, 5: {'cpu': -41}, 6: {'cpu': -84}, 7: {'cpu': -57}, 8: {'cpu': -70}, 9: {'cpu': -81}}, 'link_level': {(0, 1): {'bw': -14}, (0, 3): {'bw': -10}, (0, 6): {'bw': 23}}, 'path_level': {(0, 1): {'latency': -7.622908769737833}, (0, 3): {'latency': -0.5395659821266872}, (0, 6): {'latency': 10.644015177697144}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}, 5: {'cpu': 0}, 6: {'cpu': 0}, 7: {'cpu': 0}, 8: {'cpu': 0}, 9: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 3): {'bw': 0}, (0, 6): {'bw': 23}}, 'path_level': {(0, 1): {'latency': 0}, (0, 3): {'latency': 0}, (0, 6): {'latency': 10.644015177697144}}}",[],0.0,0.0,True,False,False,0,[],0,0.0,10.0,3.0
5,1,1,71.0,95.0,54858.32208108269,73401.98024933599,0.7473684210526316,0.7473684210526316,3,4,1,66.0,41763,7627,34136,0.0043080939947780506,0.00181297151880222,4,525.5416162350841,66.0,9,24,False,"{0: 0, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8}","{(0, 1): [(0, 1)], (0, 2): [(0, 47), (47, 2)], (0, 3): []}","{(0, 0): {'cpu': 18}, (1, 1): {'cpu': 8}, (2, 2): {'cpu': 19}, (3, 3): {'cpu': 1}, (4, 4): {'cpu': 10}, (5, 5): {'cpu': 12}, (6, 6): {'cpu': 16}, (7, 7): {'cpu': 1}, (8, 8): {'cpu': 4}}","{((0, 1), (0, 1)): {'bw': 46}, ((0, 2), (0, 47)): {'bw': 2}, ((0, 2), (47, 2)): {'bw': 2}}",0.0,0.0,682.0,89.0,593.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,7.992852901546786,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -72}, 1: {'cpu': -35}, 2: {'cpu': -17}, 3: {'cpu': -89}, 4: {'cpu': -63}, 5: {'cpu': -46}, 6: {'cpu': -84}, 7: {'cpu': -58}, 8: {'cpu': -85}}, 'link_level': {(0, 1): {'bw': -7}, (0, 2): {'bw': -91}, (0, 3): {'bw': -43}}, 'path_level': {(0, 1): {'latency': -1.7003697148539851}, (0, 2): {'latency': -3.274720884686662}, (0, 3): {'latency': 7.992852901546786}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}, 5: {'cpu': 0}, 6: {'cpu': 0}, 7: {'cpu': 0}, 8: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 2): {'bw': 0}, (0, 3): {'bw': 0}}, 'path_level': {(0, 1): {'latency': 0}, (0, 2): {'latency': 0}, (0, 3): {'latency': 7.992852901546786}}}",[],0.0,0.0,True,False,False,0,[],0,0.0,9.0,3.0
6,1,1,71.0,95.0,54858.32208108269,73401.98024933599,0.7473684210526316,0.7473684210526316,3,5,1,70.0,41763,7627,34136,0.0043080939947780506,0.00181297151880222,5,1384.6289627077263,70.0,10,14,False,"{0: 0, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8, 9: 9}","{(0, 4): [(0, 17), (17, 4)], (0, 5): []}","{(0, 0): {'cpu': 4}, (1, 1): {'cpu': 13}, (2, 2): {'cpu': 15}, (3, 3): {'cpu': 9}, (4, 4): {'cpu': 6}, (5, 5): {'cpu': 20}, (6, 6): {'cpu': 10}, (7, 7): {'cpu': 20}, (8, 8): {'cpu': 20}, (9, 9): {'cpu': 2}}","{((0, 4), (0, 17)): {'bw': 1}, ((0, 4), (17, 4)): {'bw': 1}}",0.0,0.0,534.0,119.0,415.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,6.187624295299347,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -86}, 1: {'cpu': -30}, 2: {'cpu': -21}, 3: {'cpu': -81}, 4: {'cpu': -67}, 5: {'cpu': -38}, 6: {'cpu': -90}, 7: {'cpu': -39}, 8: {'cpu': -69}, 9: {'cpu': -93}}, 'link_level': {(0, 4): {'bw': -60}, (0, 5): {'bw': -30}}, 'path_level': {(0, 4): {'latency': -4.023700691519567}, (0, 5): {'latency': 6.187624295299347}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}, 5: {'cpu': 0}, 6: {'cpu': 0}, 7: {'cpu': 0}, 8: {'cpu': 0}, 9: {'cpu': 0}}, 'link_level': {(0, 4): {'bw': 0}, (0, 5): {'bw': 0}}, 'path_level': {(0, 4): {'latency': 0}, (0, 5): {'latency': 6.187624295299347}}}",[],0.0,0.0,True,False,False,0,[],0,0.0,10.0,2.0
7,2,2,217.0,408.0,74523.50197607475,115560.89331188746,0.5318627450980392,0.6448851323340256,4,6,1,80.0,41450,7586,33864,0.009660574412532652,0.0097666530206445,6,134.69301297939768,80.0,4,4,True,"{0: 0, 1: 1, 2: 2, 3: 3}","{(0, 1): [(0, 1)], (0, 3): [(0, 5), (5, 93), (93, 3)], (1, 2): [(1, 61), (61, 2)], (2, 3): [(2, 21), (21, 30), (30, 3)]}","{(0, 0): {'cpu': 18}, (1, 1): {'cpu': 4}, (2, 2): {'cpu': 17}, (3, 3): {'cpu': 2}}","{((0, 1), (0, 1)): {'bw': 11}, ((0, 3), (0, 5)): {'bw': 24}, ((0, 3), (5, 93)): {'bw': 24}, ((0, 3), (93, 3)): {'bw': 24}, ((1, 2), (1, 61)): {'bw': 21}, ((1, 2), (61, 2)): {'bw': 21}, ((2, 3), (2, 21)): {'bw': 49}, ((2, 3), (21, 30)): {'bw': 49}, ((2, 3), (30, 3)): {'bw': 49}}",313.0,146.0,146.0,41.0,105.0,41.0,105.0,41.0,272.0,167.0,0.46645367412140576,42158.91306255147,19665.17989499206,62.828050782722244,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -72}, 1: {'cpu': -39}, 2: {'cpu': -19}, 3: {'cpu': -88}}, 'link_level': {(0, 1): {'bw': -42}, (0, 3): {'bw': -31}, (1, 2): {'bw': -14}, (2, 3): {'bw': -6}}, 'path_level': {(0, 1): {'latency': -11.937746248747684}, (0, 3): {'latency': -2.5144894077700943}, (1, 2): {'latency': -5.377279499475943}, (2, 3): {'latency': -1.8663659991927108}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 3): {'bw': 0}, (1, 2): {'bw': 0}, (2, 3): {'bw': 0}}, 'path_level': {(0, 1): {'latency': 0}, (0, 3): {'latency': 0}, (1, 2): {'latency': 0}, (2, 3): {'latency': 0}}}",[],0.0,0.0,True,True,False,0,[],0,0.0,4.0,4.0
7,2,2,217.0,408.0,74523.50197607475,115560.89331188746,0.5318627450980392,0.6448851323340256,4,7,0,85.01953183544195,41450,7586,33864,0.009660574412532652,0.0097666530206445,0,69.01953183544195,16.0,9,18,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],0.0,0.0,True,True,False,0,[],0,0.0,,
8,2,2,217.0,408.0,74523.50197607475,115560.89331188746,0.5318627450980392,0.6448851323340256,4,8,1,92.0,41450,7586,33864,0.009660574412532652,0.0097666530206445,7,328.3689971637556,92.0,9,18,False,"{0: 0, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8}","{(0, 3): [(0, 86), (86, 77), (77, 3)], (0, 4): [(0, 17), (17, 4)], (0, 7): [(0, 33), (33, 25), (25, 7)], (1, 3): [(1, 15), (15, 34), (34, 3)], (1, 5): [(1, 15), (15, 72), (72, 5)], (1, 7): [(1, 33), (33, 25), (25, 7)], (1, 8): []}","{(0, 0): {'cpu': 2}, (1, 1): {'cpu': 5}, (2, 2): {'cpu': 16}, (3, 3): {'cpu': 4}, (4, 4): {'cpu': 5}, (5, 5): {'cpu': 17}, (6, 6): {'cpu': 14}, (7, 7): {'cpu': 20}, (8, 8): {'cpu': 9}}","{((0, 3), (0, 86)): {'bw': 14}, ((0, 3), (86, 77)): {'bw': 14}, ((0, 3), (77, 3)): {'bw': 14}, ((0, 4), (0, 17)): {'bw': 26}, ((0, 4), (17, 4)): {'bw': 26}, ((0, 7), (0, 33)): {'bw': 35}, ((0, 7), (33, 25)): {'bw': 35}, ((0, 7), (25, 7)): {'bw': 35}, ((1, 3), (1, 15)): {'bw': 31}, ((1, 3), (15, 34)): {'bw': 31}, ((1, 3), (34, 3)): {'bw': 31}, ((1, 5), (1, 15)): {'bw': 37}, ((1, 5), (15, 72)): {'bw': 37}, ((1, 5), (72, 5)): {'bw': 37}, ((1, 7), (1, 33)): {'bw': 21}, ((1, 7), (33, 25)): {'bw': 21}, ((1, 7), (25, 7)): {'bw': 21}}",0.0,0.0,602.0,92.0,510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,11.829628513341387,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -70}, 1: {'cpu': -34}, 2: {'cpu': -3}, 3: {'cpu': -84}, 4: {'cpu': -68}, 5: {'cpu': -41}, 6: {'cpu': -86}, 7: {'cpu': -39}, 8: {'cpu': -80}}, 'link_level': {(0, 3): {'bw': -46}, (0, 4): {'bw': -35}, (0, 7): {'bw': -41}, (1, 3): {'bw': -35}, (1, 5): {'bw': -19}, (1, 7): {'bw': -20}, (1, 8): {'bw': -17}}, 'path_level': {(0, 3): {'latency': -1.236282595517606}, (0, 4): {'latency': -3.091356993946299}, (0, 7): {'latency': -6.303010931775747}, (1, 3): {'latency': -6.43061517833661}, (1, 5): {'latency': -2.654130699792624}, (1, 7): {'latency': -1.879351092976215}, (1, 8): {'latency': 11.829628513341387}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}, 5: {'cpu': 0}, 6: {'cpu': 0}, 7: {'cpu': 0}, 8: {'cpu': 0}}, 'link_level': {(0, 3): {'bw': 0}, (0, 4): {'bw': 0}, (0, 7): {'bw': 0}, (1, 3): {'bw': 0}, (1, 5): {'bw': 0}, (1, 7): {'bw': 0}, (1, 8): {'bw': 0}}, 'path_level': {(0, 3): {'latency': 0}, (0, 4): {'latency': 0}, (0, 7): {'latency': 0}, (1, 3): {'latency': 0}, (1, 5): {'latency': 0}, (1, 7): {'latency': 0}, (1, 8): {'latency': 11.829628513341387}}}",[],0.0,0.0,True,False,False,0,[],0,0.0,9.0,7.0
9,2,2,217.0,408.0,74523.50197607475,115560.89331188746,0.5318627450980392,0.6448851323340256,4,9,1,102.0,41450,7586,33864,0.009660574412532652,0.0097666530206445,8,1311.454495210449,102.0,9,18,False,"{0: 0, 1: 1, 2: 3, 3: 2, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8}","{(0, 1): [(0, 1)], (0, 2): [(0, 33), (33, 62), (62, 3)], (0, 6): [(0, 40), (40, 6)], (0, 7): [(0, 33), (33, 25), (25, 7)], (1, 2): []}","{(0, 0): {'cpu': 18}, (1, 1): {'cpu': 10}, (2, 3): {'cpu': 20}, (3, 2): {'cpu': 5}, (4, 4): {'cpu': 3}, (5, 5): {'cpu': 11}, (6, 6): {'cpu': 14}, (7, 7): {'cpu': 1}, (8, 8): {'cpu': 16}}","{((0, 1), (0, 1)): {'bw': 36}, ((0, 2), (0, 33)): {'bw': 50}, ((0, 2), (33, 62)): {'bw': 50}, ((0, 2), (62, 3)): {'bw': 50}, ((0, 6), (0, 40)): {'bw': 42}, ((0, 6), (40, 6)): {'bw': 42}, ((0, 7), (0, 33)): {'bw': 6}, ((0, 7), (33, 25)): {'bw': 6}, ((0, 7), (25, 7)): {'bw': 6}}",0.0,0.0,584.0,98.0,486.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,9.91579236418835,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -54}, 1: {'cpu': -29}, 2: {'cpu': -68}, 3: {'cpu': -14}, 4: {'cpu': -70}, 5: {'cpu': -47}, 6: {'cpu': -86}, 7: {'cpu': -58}, 8: {'cpu': -73}}, 'link_level': {(0, 1): {'bw': -6}, (0, 2): {'bw': -11}, (0, 6): {'bw': -8}, (0, 7): {'bw': -29}, (1, 2): {'bw': 3}}, 'path_level': {(0, 1): {'latency': -10.00363091470328}, (0, 2): {'latency': -4.528394230235415}, (0, 6): {'latency': -4.438760204683529}, (0, 7): {'latency': -3.150208925582964}, (1, 2): {'latency': 9.91579236418835}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}, 5: {'cpu': 0}, 6: {'cpu': 0}, 7: {'cpu': 0}, 8: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 2): {'bw': 0}, (0, 6): {'bw': 0}, (0, 7): {'bw': 0}, (1, 2): {'bw': 3}}, 'path_level': {(0, 1): {'latency': 0}, (0, 2): {'latency': 0}, (0, 6): {'latency': 0}, (0, 7): {'latency': 0}, (1, 2): {'latency': 9.91579236418835}}}",[],0.0,0.0,True,False,False,0,[],0,0.0,9.0,5.0
10,2,2,217.0,408.0,74523.50197607475,115560.89331188746,0.5318627450980392,0.6448851323340256,4,10,1,115.0,41450,7586,33864,0.009660574412532652,0.0097666530206445,9,97.64746365573801,115.0,9,17,False,"{0: 0, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8}","{(0, 1): [(0, 1)], (0, 5): [(0, 5)], (0, 6): [(0, 40), (40, 6)], (0, 7): [(0, 33), (33, 25), (25, 7)], (1, 4): [(1, 14), (14, 4)], (1, 5): [(1, 0), (0, 5)], (1, 7): []}","{(0, 0): {'cpu': 12}, (1, 1): {'cpu': 20}, (2, 2): {'cpu': 3}, (3, 3): {'cpu': 13}, (4, 4): {'cpu': 11}, (5, 5): {'cpu': 13}, (6, 6): {'cpu': 1}, (7, 7): {'cpu': 11}, (8, 8): {'cpu': 2}}","{((0, 1), (0, 1)): {'bw': 7}, ((0, 5), (0, 5)): {'bw': 13}, ((0, 6), (0, 40)): {'bw': 35}, ((0, 6), (40, 6)): {'bw': 35}, ((0, 7), (0, 33)): {'bw': 1}, ((0, 7), (33, 25)): {'bw': 1}, ((0, 7), (25, 7)): {'bw': 1}, ((1, 4), (1, 14)): {'bw': 48}, ((1, 4), (14, 4)): {'bw': 48}, ((1, 5), (1, 0)): {'bw': 16}, ((1, 5), (0, 5)): {'bw': 16}}",0.0,0.0,570.0,86.0,484.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,3.202337591348119,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -60}, 1: {'cpu': -19}, 2: {'cpu': -16}, 3: {'cpu': -75}, 4: {'cpu': -62}, 5: {'cpu': -45}, 6: {'cpu': -99}, 7: {'cpu': -48}, 8: {'cpu': -87}}, 'link_level': {(0, 1): {'bw': -35}, (0, 5): {'bw': -22}, (0, 6): {'bw': -15}, (0, 7): {'bw': -75}, (1, 4): {'bw': -4}, (1, 5): {'bw': -6}, (1, 7): {'bw': -49}}, 'path_level': {(0, 1): {'latency': -5.247700985410331}, (0, 5): {'latency': -4.14224984466178}, (0, 6): {'latency': -3.1287939638574365}, (0, 7): {'latency': -4.733252947744393}, (1, 4): {'latency': -1.1860137365737726}, (1, 5): {'latency': -5.41960984589965}, (1, 7): {'latency': 3.202337591348119}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}, 5: {'cpu': 0}, 6: {'cpu': 0}, 7: {'cpu': 0}, 8: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 5): {'bw': 0}, (0, 6): {'bw': 0}, (0, 7): {'bw': 0}, (1, 4): {'bw': 0}, (1, 5): {'bw': 0}, (1, 7): {'bw': 0}}, 'path_level': {(0, 1): {'latency': 0}, (0, 5): {'latency': 0}, (0, 6): {'latency': 0}, (0, 7): {'latency': 0}, (1, 4): {'latency': 0}, (1, 5): {'latency': 0}, (1, 7): {'latency': 3.202337591348119}}}",[],0.0,0.0,True,False,False,0,[],0,0.0,9.0,7.0
11,2,2,217.0,408.0,74523.50197607475,115560.89331188746,0.5318627450980392,0.6448851323340256,4,11,1,128.0,41450,7586,33864,0.009660574412532652,0.0097666530206445,10,83.04396962673685,128.0,10,22,False,"{0: 0, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8, 9: 9}","{(0, 1): [(0, 33), (33, 1)], (0, 2): [(0, 47), (47, 2)], (0, 3): [(0, 17), (17, 30), (30, 3)], (0, 5): [(0, 17), (17, 5)], (1, 2): []}","{(0, 0): {'cpu': 18}, (1, 1): {'cpu': 11}, (2, 2): {'cpu': 1}, (3, 3): {'cpu': 7}, (4, 4): {'cpu': 17}, (5, 5): {'cpu': 16}, (6, 6): {'cpu': 4}, (7, 7): {'cpu': 16}, (8, 8): {'cpu': 16}, (9, 9): {'cpu': 4}}","{((0, 1), (0, 33)): {'bw': 46}, ((0, 1), (33, 1)): {'bw': 46}, ((0, 2), (0, 47)): {'bw': 4}, ((0, 2), (47, 2)): {'bw': 4}, ((0, 3), (0, 17)): {'bw': 3}, ((0, 3), (17, 30)): {'bw': 3}, ((0, 3), (30, 3)): {'bw': 3}, ((0, 5), (0, 17)): {'bw': 43}, ((0, 5), (17, 5)): {'bw': 43}}",0.0,0.0,727.0,110.0,617.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,1.7514252722176313,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -54}, 1: {'cpu': -28}, 2: {'cpu': -18}, 3: {'cpu': -81}, 4: {'cpu': -56}, 5: {'cpu': -42}, 6: {'cpu': -96}, 7: {'cpu': -43}, 8: {'cpu': -73}, 9: {'cpu': -91}}, 'link_level': {(0, 1): {'bw': -18}, (0, 2): {'bw': -89}, (0, 3): {'bw': -3}, (0, 5): {'bw': -10}, (1, 2): {'bw': -20}}, 'path_level': {(0, 1): {'latency': -1.4706617765343077}, (0, 2): {'latency': -4.022640800846534}, (0, 3): {'latency': -1.9448870008034405}, (0, 5): {'latency': -0.6113088496783279}, (1, 2): {'latency': 1.7514252722176313}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}, 5: {'cpu': 0}, 6: {'cpu': 0}, 7: {'cpu': 0}, 8: {'cpu': 0}, 9: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 2): {'bw': 0}, (0, 3): {'bw': 0}, (0, 5): {'bw': 0}, (1, 2): {'bw': 0}}, 'path_level': {(0, 1): {'latency': 0}, (0, 2): {'latency': 0}, (0, 3): {'latency': 0}, (0, 5): {'latency': 0}, (1, 2): {'latency': 1.7514252722176313}}}",[],0.0,0.0,True,False,False,0,[],0,0.0,10.0,5.0
