v_net_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,long_term_r2c_ratio,long_term_time_r2c_ratio,num_running_p_net_nodes,event_id,event_type,event_time,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,v_net_id,v_net_lifetime,v_net_arrival_time,v_net_num_nodes,v_net_num_egdes,result,node_slots,link_paths,node_slots_info,link_paths_info,v_net_cost,v_net_revenue,v_net_demand,v_net_node_demand,v_net_link_demand,v_net_node_revenue,v_net_link_revenue,v_net_node_cost,v_net_link_cost,v_net_path_cost,v_net_r2c_ratio,v_net_time_cost,v_net_time_revenue,v_net_time_rc_ratio,description,v_net_total_hard_constraint_violation,v_net_single_step_constraint_offset,v_net_constraint_offsets,v_net_constraint_violations,v_net_single_step_violation_list,v_net_single_step_hard_constraint_offset,v_net_max_single_step_hard_constraint_violation,place_result,route_result,early_rejection,revoke_times,selected_actions,num_interactions,v_net_reward,num_placed_nodes,num_routed_links,rdma_mode,fallback_count,rdma_link_count
1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,11.0,42634.0,7761,34873.0,0.0,0.0,0,69.22537333413192,11.0,10,20,False,"{1: np.int64(50), 4: np.int64(73), 3: np.int64(85), 2: np.int64(31), 5: np.int64(59), 8: np.int64(66), 6: np.int64(57), 9: np.int64(15)}",{},"{(1, np.int64(50)): {'cpu': 16}, (4, np.int64(73)): {'cpu': 16}, (3, np.int64(85)): {'cpu': 18}, (2, np.int64(31)): {'cpu': 20}, (5, np.int64(59)): {'cpu': 14}, (8, np.int64(66)): {'cpu': 14}, (6, np.int64(57)): {'cpu': 5}, (9, np.int64(15)): {'cpu': 3}}",{},0.0,0.0,816.0,109.0,707.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Place Failure,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {1: {'cpu': -71}, 4: {'cpu': -71}, 3: {'cpu': -80}, 2: {'cpu': -59}, 5: {'cpu': -79}, 8: {'cpu': -52}, 6: {'cpu': -66}, 9: {'cpu': -91}}, 'link_level': {}, 'path_level': {}}","{'node_level': {1: {'cpu': 0}, 4: {'cpu': 0}, 3: {'cpu': 0}, 2: {'cpu': 0}, 5: {'cpu': 0}, 8: {'cpu': 0}, 6: {'cpu': 0}, 9: {'cpu': 0}}, 'link_level': {}, 'path_level': {}}",[],0.0,0.0,False,True,False,0,[],0,0.0,8.0,0.0,,,
2,1,1,175.0,212.0,70509.09262466723,85416.72935102545,0.8254716981132075,0.8254716981132075,5,1,1,15.0,42422.0,7674,34748.0,0.01120989563200614,0.003584434949674531,1,402.9091007123842,15.0,5,5,True,"{1: np.int64(50), 3: np.int64(73), 4: np.int64(85), 0: np.int64(31), 2: np.int64(59)}","{(1, 4): [(np.int64(50), 85)], (1, 3): [(np.int64(50), 55), (55, np.int64(73))], (0, 4): [(np.int64(31), 50), (50, np.int64(85))], (2, 3): [(np.int64(59), 73)], (0, 1): [(np.int64(31), 50)]}","{(1, np.int64(50)): {'cpu': 19}, (3, np.int64(73)): {'cpu': 19}, (4, np.int64(85)): {'cpu': 16}, (0, np.int64(31)): {'cpu': 17}, (2, np.int64(59)): {'cpu': 16}}","{((1, 4), (np.int64(50), 85)): {'bw': 28.0}, ((1, 3), (np.int64(50), 55)): {'bw': 23.0}, ((1, 3), (55, np.int64(73))): {'bw': 23.0}, ((0, 4), (np.int64(31), 50)): {'bw': 14.0}, ((0, 4), (50, np.int64(85))): {'bw': 14.0}, ((2, 3), (np.int64(59), 73)): {'bw': 13.0}, ((0, 1), (np.int64(31), 50)): {'bw': 10.0}}",212.0,175.0,175.0,87.0,88.0,87.0,88.0,87.0,125.0,37.0,0.8254716981132075,85416.72935102545,70509.09262466723,332.59005955031716,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {1: {'cpu': -68}, 3: {'cpu': -68}, 4: {'cpu': -82}, 0: {'cpu': -62}, 2: {'cpu': -77}}, 'link_level': {}, 'path_level': {}}","{'node_level': {1: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}, 0: {'cpu': 0}, 2: {'cpu': 0}}, 'link_level': {}, 'path_level': {}}",[],0.0,0.0,True,True,False,0,[],0,0.0,5.0,5.0,"OrderedDict([((1, 4), 0), ((1, 3), 0), ((0, 4), 0), ((2, 3), 0), ((0, 1), 0)])",0.0,0.0
3,1,1,175.0,212.0,70509.09262466723,85416.72935102545,0.8254716981132075,0.8254716981132075,5,2,1,30.0,42422.0,7674,34748.0,0.01120989563200614,0.003584434949674531,2,104.01345834808855,30.0,10,20,False,"{1: np.int64(66), 6: np.int64(57), 0: np.int64(73), 2: np.int64(77), 8: np.int64(50), 7: np.int64(98), 4: np.int64(39), 9: np.int64(52), 3: np.int64(86), 5: np.int64(5)}","{(1, 9): [(np.int64(66), 77), (77, 13), (13, np.int64(52))], (1, 7): [(np.int64(66), 98)]}","{(1, np.int64(66)): {'cpu': 16, 'nic_slots': 1}, (6, np.int64(57)): {'cpu': 19}, (0, np.int64(73)): {'cpu': 16}, (2, np.int64(77)): {'cpu': 11}, (8, np.int64(50)): {'cpu': 15}, (7, np.int64(98)): {'cpu': 14, 'nic_slots': 1}, (4, np.int64(39)): {'cpu': 14}, (9, np.int64(52)): {'cpu': 5}, (3, np.int64(86)): {'cpu': 10}, (5, np.int64(5)): {'cpu': 15}}","{((1, 9), (np.int64(66), 77)): {'bw': 47.0}, ((1, 9), (77, 13)): {'bw': 47.0}, ((1, 9), (13, np.int64(52))): {'bw': 47.0}, ((1, 7), (np.int64(66), 98)): {'bw': 44.0}}",0.0,0.0,631.0,135.0,496.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {1: {'cpu': -50}, 6: {'cpu': -52}, 0: {'cpu': -52}, 2: {'cpu': -88}, 8: {'cpu': -53}, 7: {'cpu': -45}, 4: {'cpu': -73}, 9: {'cpu': -82}, 3: {'cpu': -50}, 5: {'cpu': -56}}, 'link_level': {}, 'path_level': {}}","{'node_level': {1: {'cpu': 0}, 6: {'cpu': 0}, 0: {'cpu': 0}, 2: {'cpu': 0}, 8: {'cpu': 0}, 7: {'cpu': 0}, 4: {'cpu': 0}, 9: {'cpu': 0}, 3: {'cpu': 0}, 5: {'cpu': 0}}, 'link_level': {}, 'path_level': {}}",[],0.0,0.0,True,False,False,0,[],0,0.0,10.0,2.0,"OrderedDict([((1, 9), 0), ((1, 7), 1)])",0.0,1.0
4,2,2,1039.0,1694.0,1383212.686018693,2337068.031908834,0.6133412042502951,0.5918581175786031,11,3,1,43.0,40940.0,7561,33379.0,0.02576987501610617,0.04284116651851,3,1519.332862724567,43.0,10,27,True,"{1: np.int64(66), 8: np.int64(57), 9: np.int64(73), 2: np.int64(50), 7: np.int64(39), 0: np.int64(5), 4: np.int64(77), 6: np.int64(86), 5: np.int64(85), 3: np.int64(59)}","{(7, 9): [(np.int64(39), 61), (61, np.int64(73))], (0, 7): [(np.int64(5), 6), (6, np.int64(39))], (3, 5): [(np.int64(59), 70), (70, 6), (6, np.int64(85))], (1, 9): [(np.int64(66), 73)], (2, 7): [(np.int64(50), 31), (31, np.int64(39))], (2, 5): [(np.int64(50), 8), (8, 11), (11, np.int64(85))], (1, 3): [(np.int64(66), 2), (2, np.int64(59))], (1, 8): [(np.int64(66), 57)], (1, 7): [(np.int64(66), 18), (18, np.int64(39))], (4, 7): [(np.int64(77), 31), (31, np.int64(39))], (0, 8): [(np.int64(5), 55), (55, np.int64(57))], (2, 4): [(np.int64(50), 77)], (3, 4): [(np.int64(59), 88), (88, np.int64(77))], (3, 9): [(np.int64(59), 73)], (3, 7): [(np.int64(59), 82), (82, np.int64(39))], (3, 8): [(np.int64(59), 57)], (7, 8): [(np.int64(39), 74), (74, np.int64(57))], (4, 6): [(np.int64(77), 86)], (5, 8): [(np.int64(85), 41), (41, np.int64(57))], (1, 4): [(np.int64(66), 77)], (0, 2): [(np.int64(5), 55), (55, np.int64(50))], (4, 8): [(np.int64(77), 66), (66, np.int64(57))], (5, 6): [(np.int64(85), 13), (13, np.int64(86))], (0, 4): [(np.int64(5), 86), (86, np.int64(77))], (6, 9): [(np.int64(86), 73)], (5, 9): [(np.int64(85), 15), (15, np.int64(73))], (1, 6): [(np.int64(66), 77), (77, np.int64(86))]}","{(1, np.int64(66)): {'cpu': 18}, (8, np.int64(57)): {'cpu': 20}, (9, np.int64(73)): {'cpu': 20}, (2, np.int64(50)): {'cpu': 18}, (7, np.int64(39)): {'cpu': 8}, (0, np.int64(5)): {'cpu': 9}, (4, np.int64(77)): {'cpu': 4}, (6, np.int64(86)): {'cpu': 11}, (5, np.int64(85)): {'cpu': 3}, (3, np.int64(59)): {'cpu': 2}}","{((7, 9), (np.int64(39), 61)): {'bw': 49.0}, ((7, 9), (61, np.int64(73))): {'bw': 49.0}, ((0, 7), (np.int64(5), 6)): {'bw': 49.0}, ((0, 7), (6, np.int64(39))): {'bw': 49.0}, ((3, 5), (np.int64(59), 70)): {'bw': 49.0}, ((3, 5), (70, 6)): {'bw': 49.0}, ((3, 5), (6, np.int64(85))): {'bw': 49.0}, ((1, 9), (np.int64(66), 73)): {'bw': 45.0}, ((2, 7), (np.int64(50), 31)): {'bw': 39.0}, ((2, 7), (31, np.int64(39))): {'bw': 39.0}, ((2, 5), (np.int64(50), 8)): {'bw': 41.0}, ((2, 5), (8, 11)): {'bw': 41.0}, ((2, 5), (11, np.int64(85))): {'bw': 41.0}, ((1, 3), (np.int64(66), 2)): {'bw': 39.0}, ((1, 3), (2, np.int64(59))): {'bw': 39.0}, ((1, 8), (np.int64(66), 57)): {'bw': 40.0}, ((1, 7), (np.int64(66), 18)): {'bw': 34.0}, ((1, 7), (18, np.int64(39))): {'bw': 34.0}, ((4, 7), (np.int64(77), 31)): {'bw': 34.0}, ((4, 7), (31, np.int64(39))): {'bw': 34.0}, ((0, 8), (np.int64(5), 55)): {'bw': 33.0}, ((0, 8), (55, np.int64(57))): {'bw': 33.0}, ((2, 4), (np.int64(50), 77)): {'bw': 31.0}, ((3, 4), (np.int64(59), 88)): {'bw': 26.0}, ((3, 4), (88, np.int64(77))): {'bw': 26.0}, ((3, 9), (np.int64(59), 73)): {'bw': 29.0}, ((3, 7), (np.int64(59), 82)): {'bw': 28.0}, ((3, 7), (82, np.int64(39))): {'bw': 28.0}, ((3, 8), (np.int64(59), 57)): {'bw': 26.0}, ((7, 8), (np.int64(39), 74)): {'bw': 25.0}, ((7, 8), (74, np.int64(57))): {'bw': 25.0}, ((4, 6), (np.int64(77), 86)): {'bw': 23.0}, ((5, 8), (np.int64(85), 41)): {'bw': 23.0}, ((5, 8), (41, np.int64(57))): {'bw': 23.0}, ((1, 4), (np.int64(66), 77)): {'bw': 21.0}, ((0, 2), (np.int64(5), 55)): {'bw': 14.0}, ((0, 2), (55, np.int64(50))): {'bw': 14.0}, ((4, 8), (np.int64(77), 66)): {'bw': 13.0}, ((4, 8), (66, np.int64(57))): {'bw': 13.0}, ((5, 6), (np.int64(85), 13)): {'bw': 12.0}, ((5, 6), (13, np.int64(86))): {'bw': 12.0}, ((0, 4), (np.int64(5), 86)): {'bw': 9.0}, ((0, 4), (86, np.int64(77))): {'bw': 9.0}, ((6, 9), (np.int64(86), 73)): {'bw': 8.0}, ((5, 9), (np.int64(85), 15)): {'bw': 8.0}, ((5, 9), (15, np.int64(73))): {'bw': 8.0}, ((1, 6), (np.int64(66), 77)): {'bw': 3.0}, ((1, 6), (77, np.int64(86))): {'bw': 3.0}}",1482.0,864.0,864.0,113.0,751.0,113.0,751.0,113.0,1369.0,618.0,0.582995951417004,2251651.3025578083,1312703.5933940257,885.7649078232292,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {1: {'cpu': -48}, 8: {'cpu': -51}, 9: {'cpu': -48}, 2: {'cpu': -50}, 7: {'cpu': -79}, 0: {'cpu': -62}, 4: {'cpu': -95}, 6: {'cpu': -49}, 5: {'cpu': -79}, 3: {'cpu': -75}}, 'link_level': {}, 'path_level': {}}","{'node_level': {1: {'cpu': 0}, 8: {'cpu': 0}, 9: {'cpu': 0}, 2: {'cpu': 0}, 7: {'cpu': 0}, 0: {'cpu': 0}, 4: {'cpu': 0}, 6: {'cpu': 0}, 5: {'cpu': 0}, 3: {'cpu': 0}}, 'link_level': {}, 'path_level': {}}",[],0.0,0.0,True,True,False,0,[],0,0.0,10.0,27.0,"OrderedDict([((7, 9), 0), ((0, 7), 0), ((3, 5), 0), ((1, 9), 0), ((2, 7), 0), ((2, 5), 0), ((1, 3), 0), ((1, 8), 0), ((1, 7), 0), ((4, 7), 0), ((0, 8), 0), ((2, 4), 0), ((3, 4), 0), ((3, 9), 0), ((3, 7), 0), ((3, 8), 0), ((7, 8), 0), ((4, 6), 0), ((5, 8), 0), ((1, 4), 0), ((0, 2), 0), ((4, 8), 0), ((5, 6), 0), ((0, 4), 0), ((6, 9), 0), ((5, 9), 0), ((1, 6), 0)])",5.0,0.0
5,3,3,1071.0,1726.0,1401524.4271297029,2355379.7730198437,0.6205098493626883,0.5950311891032339,13,4,1,59.0,40908.0,7546,33362.0,0.027702615642314132,0.04332864967166572,4,572.2419097190561,59.0,2,1,True,"{0: np.int64(52), 1: np.int64(54)}","{(0, 1): [(np.int64(52), 54)]}","{(0, np.int64(52)): {'cpu': 12}, (1, np.int64(54)): {'cpu': 3}}","{((0, 1), (np.int64(52), 54)): {'bw': 17.0}}",32.0,32.0,32.0,15.0,17.0,15.0,17.0,15.0,17.0,0.0,1.0,18311.741111009796,18311.741111009796,572.2419097190561,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -75}, 1: {'cpu': -80}}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}}, 'link_level': {}, 'path_level': {}}",[],0.0,0.0,True,True,False,0,[],0,0.0,2.0,1.0,"OrderedDict([((0, 1), 0)])",0.0,0.0
6,4,4,1398.0,2260.0,1528849.7138793382,2563305.4706476885,0.6185840707964602,0.5964368006022447,20,5,1,71.0,40374.0,7455,32919.0,0.03942790877464242,0.05603188713331231,5,389.37396559521494,71.0,7,12,True,"{3: np.int64(60), 2: np.int64(38), 1: np.int64(67), 5: np.int64(21), 0: np.int64(97), 4: np.int64(45), 6: np.int64(65)}","{(1, 3): [(np.int64(67), 60)], (2, 4): [(np.int64(38), 45)], (2, 6): [(np.int64(38), 64), (64, 94), (94, 74), (74, np.int64(65))], (2, 5): [(np.int64(38), 4), (4, np.int64(21))], (0, 3): [(np.int64(97), 7), (7, np.int64(60))], (4, 5): [(np.int64(45), 59), (59, 2), (2, np.int64(21))], (0, 4): [(np.int64(97), 45)], (3, 4): [(np.int64(60), 7), (7, np.int64(45))], (3, 6): [(np.int64(60), 95), (95, np.int64(65))], (1, 4): [(np.int64(67), 38), (38, np.int64(45))], (1, 5): [(np.int64(67), 76), (76, np.int64(21))], (2, 3): [(np.int64(38), 60)]}","{(3, np.int64(60)): {'cpu': 20}, (2, np.int64(38)): {'cpu': 14, 'nic_slots': 2}, (1, np.int64(67)): {'cpu': 13}, (5, np.int64(21)): {'cpu': 16, 'nic_slots': 1}, (0, np.int64(97)): {'cpu': 14}, (4, np.int64(45)): {'cpu': 5}, (6, np.int64(65)): {'cpu': 9, 'nic_slots': 1}}","{((1, 3), (np.int64(67), 60)): {'bw': 48.0}, ((2, 4), (np.int64(38), 45)): {'bw': 45.0}, ((2, 6), (np.int64(38), 64)): {'bw': 34.0}, ((2, 6), (64, 94)): {'bw': 34.0}, ((2, 6), (94, 74)): {'bw': 34.0}, ((2, 6), (74, np.int64(65))): {'bw': 34.0}, ((2, 5), (np.int64(38), 4)): {'bw': 27.0}, ((2, 5), (4, np.int64(21))): {'bw': 27.0}, ((0, 3), (np.int64(97), 7)): {'bw': 17.0}, ((0, 3), (7, np.int64(60))): {'bw': 17.0}, ((4, 5), (np.int64(45), 59)): {'bw': 15.0}, ((4, 5), (59, 2)): {'bw': 15.0}, ((4, 5), (2, np.int64(21))): {'bw': 15.0}, ((0, 4), (np.int64(97), 45)): {'bw': 17.0}, ((3, 4), (np.int64(60), 7)): {'bw': 9.0}, ((3, 4), (7, np.int64(45))): {'bw': 9.0}, ((3, 6), (np.int64(60), 95)): {'bw': 11.0}, ((3, 6), (95, np.int64(65))): {'bw': 11.0}, ((1, 4), (np.int64(67), 38)): {'bw': 9.0}, ((1, 4), (38, np.int64(45))): {'bw': 9.0}, ((1, 5), (np.int64(67), 76)): {'bw': 2.0}, ((1, 5), (76, np.int64(21))): {'bw': 2.0}, ((2, 3), (np.int64(38), 60)): {'bw': 2.0}}",534.0,327.0,327.0,91.0,236.0,91.0,236.0,91.0,443.0,207.0,0.6123595505617978,207925.69762784478,127325.28674963528,238.43686657235074,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {3: {'cpu': -66}, 2: {'cpu': -84}, 1: {'cpu': -87}, 5: {'cpu': -60}, 0: {'cpu': -84}, 4: {'cpu': -73}, 6: {'cpu': -73}}, 'link_level': {}, 'path_level': {}}","{'node_level': {3: {'cpu': 0}, 2: {'cpu': 0}, 1: {'cpu': 0}, 5: {'cpu': 0}, 0: {'cpu': 0}, 4: {'cpu': 0}, 6: {'cpu': 0}}, 'link_level': {}, 'path_level': {}}",[],0.0,0.0,True,True,False,0,[],0,0.0,7.0,12.0,"OrderedDict([((1, 3), 0), ((2, 4), 0), ((2, 6), 1), ((2, 5), 1), ((0, 3), 0), ((4, 5), 0), ((0, 4), 0), ((3, 4), 0), ((3, 6), 0), ((1, 4), 0), ((1, 5), 0), ((2, 3), 0)])",0.0,2.0
6,4,4,1398.0,2260.0,1528849.7138793382,2563305.4706476885,0.6185840707964602,0.5964368006022447,20,6,0,80.22537333413192,40374.0,7455,32919.0,0.03942790877464242,0.05603188713331231,0,69.22537333413192,11.0,10,20,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],0.0,0.0,True,True,False,0,[],0,0.0,,,,,
7,5,5,1580.0,2476.0,1640615.8451760032,2695950.9891096647,0.6381260096930533,0.6085480974258419,24,7,1,88.0,40158.0,7390,32768.0,0.04780311815487692,0.06036188455251912,6,614.0996225091485,88.0,5,5,True,"{0: np.int64(54), 2: np.int64(9), 1: np.int64(29), 3: np.int64(15), 4: np.int64(13)}","{(1, 2): [(np.int64(29), 9)], (0, 2): [(np.int64(54), 9)], (0, 1): [(np.int64(54), 52), (52, np.int64(29))], (0, 3): [(np.int64(54), 59), (59, 73), (73, np.int64(15))], (1, 4): [(np.int64(29), 13)]}","{(0, np.int64(54)): {'cpu': 20}, (2, np.int64(9)): {'cpu': 15}, (1, np.int64(29)): {'cpu': 9}, (3, np.int64(15)): {'cpu': 7}, (4, np.int64(13)): {'cpu': 14}}","{((1, 2), (np.int64(29), 9)): {'bw': 50.0}, ((0, 2), (np.int64(54), 9)): {'bw': 36.0}, ((0, 1), (np.int64(54), 52)): {'bw': 24.0}, ((0, 1), (52, np.int64(29))): {'bw': 24.0}, ((0, 3), (np.int64(54), 59)): {'bw': 5.0}, ((0, 3), (59, 73)): {'bw': 5.0}, ((0, 3), (73, np.int64(15))): {'bw': 5.0}, ((1, 4), (np.int64(29), 13)): {'bw': 2.0}}",216.0,182.0,182.0,65.0,117.0,65.0,117.0,65.0,151.0,34.0,0.8425925925925926,132645.51846197608,111766.13129666503,517.4357930401159,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -60}, 2: {'cpu': -76}, 1: {'cpu': -87}, 3: {'cpu': -87}, 4: {'cpu': -68}}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': 0}, 2: {'cpu': 0}, 1: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}}, 'link_level': {}, 'path_level': {}}",[],0.0,0.0,True,True,False,0,[],0,0.0,5.0,5.0,"OrderedDict([((1, 2), 0), ((0, 2), 0), ((0, 1), 0), ((0, 3), 0), ((1, 4), 0)])",0.0,0.0
8,6,6,1908.0,3077.0,1690860.7207333473,2788015.532432725,0.6200844978875528,0.6064746415734497,26,8,1,94.0,39557.0,7325,32232.0,0.05617832753511143,0.07573194161672359,7,153.18559621141526,94.0,7,9,True,"{5: np.int64(5), 1: np.int64(31), 4: np.int64(82), 3: np.int64(15), 0: np.int64(52), 2: np.int64(44), 6: np.int64(85)}","{(2, 4): [(np.int64(44), 63), (63, np.int64(82))], (0, 4): [(np.int64(52), 29), (29, 39), (39, np.int64(82))], (1, 5): [(np.int64(31), 5)], (0, 6): [(np.int64(52), 85)], (3, 4): [(np.int64(15), 35), (35, 38), (38, np.int64(82))], (4, 5): [(np.int64(82), 10), (10, 21), (21, np.int64(5))], (3, 6): [(np.int64(15), 85)], (1, 2): [(np.int64(31), 12), (12, np.int64(44))], (2, 5): [(np.int64(44), 21), (21, np.int64(5))]}","{(5, np.int64(5)): {'cpu': 19}, (1, np.int64(31)): {'cpu': 15}, (4, np.int64(82)): {'cpu': 5}, (3, np.int64(15)): {'cpu': 14}, (0, np.int64(52)): {'cpu': 4}, (2, np.int64(44)): {'cpu': 4}, (6, np.int64(85)): {'cpu': 4}}","{((2, 4), (np.int64(44), 63)): {'bw': 47.0}, ((2, 4), (63, np.int64(82))): {'bw': 47.0}, ((0, 4), (np.int64(52), 29)): {'bw': 45.0}, ((0, 4), (29, 39)): {'bw': 45.0}, ((0, 4), (39, np.int64(82))): {'bw': 45.0}, ((1, 5), (np.int64(31), 5)): {'bw': 40.0}, ((0, 6), (np.int64(52), 85)): {'bw': 36.0}, ((3, 4), (np.int64(15), 35)): {'bw': 35.0}, ((3, 4), (35, 38)): {'bw': 35.0}, ((3, 4), (38, np.int64(82))): {'bw': 35.0}, ((4, 5), (np.int64(82), 10)): {'bw': 25.0}, ((4, 5), (10, 21)): {'bw': 25.0}, ((4, 5), (21, np.int64(5))): {'bw': 25.0}, ((3, 6), (np.int64(15), 85)): {'bw': 19.0}, ((1, 2), (np.int64(31), 12)): {'bw': 15.0}, ((1, 2), (12, np.int64(44))): {'bw': 15.0}, ((2, 5), (np.int64(44), 21)): {'bw': 1.0}, ((2, 5), (21, np.int64(5))): {'bw': 1.0}}",601.0,328.0,328.0,65.0,263.0,65.0,263.0,65.0,536.0,273.0,0.5457570715474209,92064.54332306057,50244.8755573442,83.60212239158768,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {5: {'cpu': -43}, 1: {'cpu': -47}, 4: {'cpu': -71}, 3: {'cpu': -73}, 0: {'cpu': -71}, 2: {'cpu': -60}, 6: {'cpu': -75}}, 'link_level': {}, 'path_level': {}}","{'node_level': {5: {'cpu': 0}, 1: {'cpu': 0}, 4: {'cpu': 0}, 3: {'cpu': 0}, 0: {'cpu': 0}, 2: {'cpu': 0}, 6: {'cpu': 0}}, 'link_level': {}, 'path_level': {}}",[],0.0,0.0,True,True,False,0,[],0,0.0,7.0,9.0,"OrderedDict([((2, 4), 0), ((0, 4), 0), ((1, 5), 0), ((0, 6), 0), ((3, 4), 0), ((4, 5), 0), ((3, 6), 0), ((1, 2), 0), ((2, 5), 0)])",1.0,0.0
9,6,6,1908.0,3077.0,1690860.7207333473,2788015.532432725,0.6200844978875528,0.6064746415734497,26,9,1,107.0,39557.0,7325,32232.0,0.05617832753511143,0.07573194161672359,8,1306.7725652947581,107.0,9,21,False,"{3: np.int64(97), 2: np.int64(65), 6: np.int64(4), 7: np.int64(69), 1: np.int64(68), 8: np.int64(76), 4: np.int64(50), 5: np.int64(57), 0: np.int64(86)}","{(3, 7): [(np.int64(97), 69)], (1, 6): [(np.int64(68), 4)], (3, 8): [(np.int64(97), 50), (50, np.int64(76))], (2, 3): [(np.int64(65), 6), (6, 77), (77, np.int64(97))], (0, 1): [(np.int64(86), 88), (88, np.int64(68))], (3, 5): [(np.int64(97), 45), (45, 59), (59, np.int64(57))], (1, 2): [(np.int64(68), 23), (23, np.int64(65))]}","{(3, np.int64(97)): {'cpu': 15}, (2, np.int64(65)): {'cpu': 19, 'nic_slots': 1}, (6, np.int64(4)): {'cpu': 15, 'nic_slots': 1}, (7, np.int64(69)): {'cpu': 16}, (1, np.int64(68)): {'cpu': 5, 'nic_slots': 2}, (8, np.int64(76)): {'cpu': 9}, (4, np.int64(50)): {'cpu': 11}, (5, np.int64(57)): {'cpu': 3}, (0, np.int64(86)): {'cpu': 4}}","{((3, 7), (np.int64(97), 69)): {'bw': 46.0}, ((1, 6), (np.int64(68), 4)): {'bw': 48.0}, ((3, 8), (np.int64(97), 50)): {'bw': 41.0}, ((3, 8), (50, np.int64(76))): {'bw': 41.0}, ((2, 3), (np.int64(65), 6)): {'bw': 41.0}, ((2, 3), (6, 77)): {'bw': 41.0}, ((2, 3), (77, np.int64(97))): {'bw': 41.0}, ((0, 1), (np.int64(86), 88)): {'bw': 38.0}, ((0, 1), (88, np.int64(68))): {'bw': 38.0}, ((3, 5), (np.int64(97), 45)): {'bw': 40.0}, ((3, 5), (45, 59)): {'bw': 40.0}, ((3, 5), (59, np.int64(57))): {'bw': 40.0}, ((1, 2), (np.int64(68), 23)): {'bw': 34.0}, ((1, 2), (23, np.int64(65))): {'bw': 34.0}}",0.0,0.0,657.0,97.0,560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {3: {'cpu': -69}, 2: {'cpu': -54}, 6: {'cpu': -35}, 7: {'cpu': -45}, 1: {'cpu': -63}, 8: {'cpu': -74}, 4: {'cpu': -39}, 5: {'cpu': -48}, 0: {'cpu': -45}}, 'link_level': {}, 'path_level': {}}","{'node_level': {3: {'cpu': 0}, 2: {'cpu': 0}, 6: {'cpu': 0}, 7: {'cpu': 0}, 1: {'cpu': 0}, 8: {'cpu': 0}, 4: {'cpu': 0}, 5: {'cpu': 0}, 0: {'cpu': 0}}, 'link_level': {}, 'path_level': {}}",[],0.0,0.0,True,False,False,0,[],0,0.0,9.0,7.0,"OrderedDict([((3, 7), 0), ((1, 6), 1), ((3, 8), 0), ((2, 3), 0), ((0, 1), 0), ((3, 5), 0), ((1, 2), 1)])",0.0,2.0
