v_net_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,long_term_r2c_ratio,long_term_time_r2c_ratio,num_running_p_net_nodes,event_id,event_type,event_time,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,v_net_id,v_net_lifetime,v_net_arrival_time,v_net_num_nodes,v_net_num_egdes,result,node_slots,link_paths,node_slots_info,link_paths_info,v_net_cost,v_net_revenue,v_net_demand,v_net_node_demand,v_net_link_demand,v_net_node_revenue,v_net_link_revenue,v_net_node_cost,v_net_link_cost,v_net_path_cost,v_net_r2c_ratio,v_net_time_cost,v_net_time_revenue,v_net_time_rc_ratio,description,v_net_total_hard_constraint_violation,v_net_single_step_constraint_offset,v_net_constraint_offsets,v_net_constraint_violations,v_net_single_step_violation_list,v_net_single_step_hard_constraint_offset,v_net_max_single_step_hard_constraint_violation,place_result,route_result,early_rejection,revoke_times,selected_actions,num_interactions,v_net_reward,rdma_mode,fallback_count,rdma_link_count,num_placed_nodes,num_routed_links
1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,11.0,44538.0,7580,36958.0,0.0,0.0,0,520.6637651709117,11.0,10,19,False,"{2: np.int64(61), 8: np.int64(11), 4: np.int64(51), 6: np.int64(66), 0: np.int64(83), 3: np.int64(40), 1: np.int64(60), 5: np.int64(80), 7: np.int64(41), 9: np.int64(36)}","{(2, 5): [(np.int64(61), 51), (51, np.int64(80))], (5, 6): [(np.int64(80), 66)], (1, 5): [(np.int64(60), 94), (94, 80)]}","{(2, np.int64(61)): {'cpu': 16}, (8, np.int64(11)): {'cpu': 15}, (4, np.int64(51)): {'cpu': 8}, (6, np.int64(66)): {'cpu': 12, 'nic_slots': 1}, (0, np.int64(83)): {'cpu': 10}, (3, np.int64(40)): {'cpu': 8}, (1, np.int64(60)): {'cpu': 7}, (5, np.int64(80)): {'cpu': 4, 'nic_slots': 1}, (7, np.int64(41)): {'cpu': 12}, (9, np.int64(36)): {'cpu': 11}}","{((2, 5), (np.int64(61), 51)): {'bw': 44.0}, ((2, 5), (51, np.int64(80))): {'bw': 44.0}, ((5, 6), (np.int64(80), 66)): {'bw': 48.0}, ((1, 5), (np.int64(60), 94)): {'bw': 49.0}, ((1, 5), (94, 80)): {'bw': 49.0}}",0.0,0.0,691.0,103.0,588.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {2: {'cpu': -80}, 8: {'cpu': -84}, 4: {'cpu': -92}, 6: {'cpu': -70}, 0: {'cpu': -80}, 3: {'cpu': -58}, 1: {'cpu': -84}, 5: {'cpu': -64}, 7: {'cpu': -84}, 9: {'cpu': -70}}, 'link_level': {}, 'path_level': {}}","{'node_level': {2: {'cpu': 0}, 8: {'cpu': 0}, 4: {'cpu': 0}, 6: {'cpu': 0}, 0: {'cpu': 0}, 3: {'cpu': 0}, 1: {'cpu': 0}, 5: {'cpu': 0}, 7: {'cpu': 0}, 9: {'cpu': 0}}, 'link_level': {}, 'path_level': {}}",[],0.0,0.0,True,False,False,0,[],0,0.0,"OrderedDict([((2, 5), 0), ((5, 6), 1), ((1, 5), 0)])",1.0,1.0,10.0,3.0
2,1,1,604.0,1053.0,956258.2001417949,1667119.0144856125,0.5735992402659069,0.5735992402659069,10,1,1,25.0,43485.0,7452,36033.0,0.016886543535620024,0.02502841062828076,1,1583.2089406321106,25.0,10,17,True,"{2: np.int64(61), 1: np.int64(11), 7: np.int64(51), 0: np.int64(66), 5: np.int64(83), 6: np.int64(60), 3: np.int64(41), 9: np.int64(34), 8: np.int64(36), 4: np.int64(32)}","{(1, 5): [(np.int64(11), 83)], (4, 7): [(np.int64(32), 73), (73, 24), (24, np.int64(51))], (1, 2): [(np.int64(11), 31), (31, np.int64(61))], (2, 8): [(np.int64(61), 36)], (0, 4): [(np.int64(66), 32)], (8, 9): [(np.int64(36), 30), (30, 5), (5, np.int64(34))], (7, 8): [(np.int64(51), 56), (56, np.int64(36))], (1, 9): [(np.int64(11), 5), (5, np.int64(34))], (2, 3): [(np.int64(61), 94), (94, np.int64(41))], (2, 4): [(np.int64(61), 57), (57, np.int64(32))], (5, 7): [(np.int64(83), 80), (80, np.int64(51))], (3, 4): [(np.int64(41), 23), (23, 34), (34, np.int64(32))], (0, 1): [(np.int64(66), 73), (73, np.int64(11))], (2, 6): [(np.int64(61), 60)], (0, 6): [(np.int64(66), 71), (71, 67), (67, 61), (61, np.int64(60))], (4, 6): [(np.int64(32), 57), (57, 61), (61, np.int64(60))], (6, 8): [(np.int64(60), 94), (94, np.int64(36))]}","{(2, np.int64(61)): {'cpu': 18}, (1, np.int64(11)): {'cpu': 19}, (7, np.int64(51)): {'cpu': 18}, (0, np.int64(66)): {'cpu': 16}, (5, np.int64(83)): {'cpu': 11}, (6, np.int64(60)): {'cpu': 20, 'nic_slots': 1}, (3, np.int64(41)): {'cpu': 12}, (9, np.int64(34)): {'cpu': 9}, (8, np.int64(36)): {'cpu': 4, 'nic_slots': 1}, (4, np.int64(32)): {'cpu': 1}}","{((1, 5), (np.int64(11), 83)): {'bw': 49.0}, ((4, 7), (np.int64(32), 73)): {'bw': 47.0}, ((4, 7), (73, 24)): {'bw': 47.0}, ((4, 7), (24, np.int64(51))): {'bw': 47.0}, ((1, 2), (np.int64(11), 31)): {'bw': 45.0}, ((1, 2), (31, np.int64(61))): {'bw': 45.0}, ((2, 8), (np.int64(61), 36)): {'bw': 44.0}, ((0, 4), (np.int64(66), 32)): {'bw': 43.0}, ((8, 9), (np.int64(36), 30)): {'bw': 30.0}, ((8, 9), (30, 5)): {'bw': 30.0}, ((8, 9), (5, np.int64(34))): {'bw': 30.0}, ((7, 8), (np.int64(51), 56)): {'bw': 32.0}, ((7, 8), (56, np.int64(36))): {'bw': 32.0}, ((1, 9), (np.int64(11), 5)): {'bw': 29.0}, ((1, 9), (5, np.int64(34))): {'bw': 29.0}, ((2, 3), (np.int64(61), 94)): {'bw': 29.0}, ((2, 3), (94, np.int64(41))): {'bw': 29.0}, ((2, 4), (np.int64(61), 57)): {'bw': 28.0}, ((2, 4), (57, np.int64(32))): {'bw': 28.0}, ((5, 7), (np.int64(83), 80)): {'bw': 25.0}, ((5, 7), (80, np.int64(51))): {'bw': 25.0}, ((3, 4), (np.int64(41), 23)): {'bw': 20.0}, ((3, 4), (23, 34)): {'bw': 20.0}, ((3, 4), (34, np.int64(32))): {'bw': 20.0}, ((0, 1), (np.int64(66), 73)): {'bw': 19.0}, ((0, 1), (73, np.int64(11))): {'bw': 19.0}, ((2, 6), (np.int64(61), 60)): {'bw': 15.0}, ((0, 6), (np.int64(66), 71)): {'bw': 9.0}, ((0, 6), (71, 67)): {'bw': 9.0}, ((0, 6), (67, 61)): {'bw': 9.0}, ((0, 6), (61, np.int64(60))): {'bw': 9.0}, ((4, 6), (np.int64(32), 57)): {'bw': 9.0}, ((4, 6), (57, 61)): {'bw': 9.0}, ((4, 6), (61, np.int64(60))): {'bw': 9.0}, ((6, 8), (np.int64(60), 94)): {'bw': 3.0}, ((6, 8), (94, np.int64(36))): {'bw': 3.0}}",1053.0,604.0,604.0,128.0,476.0,128.0,476.0,128.0,925.0,449.0,0.5735992402659069,1667119.0144856125,956258.2001417949,908.12744552877,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {2: {'cpu': -78}, 1: {'cpu': -80}, 7: {'cpu': -82}, 0: {'cpu': -66}, 5: {'cpu': -79}, 6: {'cpu': -71}, 3: {'cpu': -84}, 9: {'cpu': -87}, 8: {'cpu': -77}, 4: {'cpu': -73}}, 'link_level': {}, 'path_level': {}}","{'node_level': {2: {'cpu': 0}, 1: {'cpu': 0}, 7: {'cpu': 0}, 0: {'cpu': 0}, 5: {'cpu': 0}, 6: {'cpu': 0}, 3: {'cpu': 0}, 9: {'cpu': 0}, 8: {'cpu': 0}, 4: {'cpu': 0}}, 'link_level': {}, 'path_level': {}}",[],0.0,0.0,True,True,False,0,[],0,0.0,"OrderedDict([((1, 5), 0), ((4, 7), 0), ((1, 2), 0), ((2, 8), 0), ((0, 4), 0), ((8, 9), 0), ((7, 8), 0), ((1, 9), 0), ((2, 3), 0), ((2, 4), 0), ((5, 7), 0), ((3, 4), 0), ((0, 1), 0), ((2, 6), 0), ((0, 6), 0), ((4, 6), 0), ((6, 8), 1)])",1.0,1.0,10.0,17.0
3,1,1,604.0,1053.0,956258.2001417949,1667119.0144856125,0.5735992402659069,0.5735992402659069,10,2,1,41.0,43485.0,7452,36033.0,0.016886543535620024,0.02502841062828076,2,813.4246276820088,41.0,8,17,False,"{1: np.int64(11), 4: np.int64(61), 6: np.int64(51), 2: np.int64(39), 0: np.int64(83), 3: np.int64(49), 7: np.int64(40), 5: np.int64(60)}","{(2, 4): [(np.int64(39), 54), (54, np.int64(61))], (3, 7): [(np.int64(49), 11), (11, 6), (6, np.int64(40))], (1, 5): [(np.int64(11), 49), (49, np.int64(60))], (0, 1): [(np.int64(83), 80), (80, np.int64(11))], (3, 4): [(np.int64(49), 81), (81, np.int64(61))], (1, 3): [(np.int64(11), 83), (83, 81), (81, np.int64(49))]}","{(1, np.int64(11)): {'cpu': 20}, (4, np.int64(61)): {'cpu': 20}, (6, np.int64(51)): {'cpu': 18}, (2, np.int64(39)): {'cpu': 17}, (0, np.int64(83)): {'cpu': 8}, (3, np.int64(49)): {'cpu': 3}, (7, np.int64(40)): {'cpu': 2}, (5, np.int64(60)): {'cpu': 1}}","{((2, 4), (np.int64(39), 54)): {'bw': 50.0}, ((2, 4), (54, np.int64(61))): {'bw': 50.0}, ((3, 7), (np.int64(49), 11)): {'bw': 43.0}, ((3, 7), (11, 6)): {'bw': 43.0}, ((3, 7), (6, np.int64(40))): {'bw': 43.0}, ((1, 5), (np.int64(11), 49)): {'bw': 47.0}, ((1, 5), (49, np.int64(60))): {'bw': 47.0}, ((0, 1), (np.int64(83), 80)): {'bw': 42.0}, ((0, 1), (80, np.int64(11))): {'bw': 42.0}, ((3, 4), (np.int64(49), 81)): {'bw': 39.0}, ((3, 4), (81, np.int64(61))): {'bw': 39.0}, ((1, 3), (np.int64(11), 83)): {'bw': 40.0}, ((1, 3), (83, 81)): {'bw': 40.0}, ((1, 3), (81, np.int64(49))): {'bw': 40.0}}",0.0,0.0,581.0,89.0,492.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {1: {'cpu': -60}, 4: {'cpu': -58}, 6: {'cpu': -64}, 2: {'cpu': -35}, 0: {'cpu': -71}, 3: {'cpu': -93}, 7: {'cpu': -64}, 5: {'cpu': -70}}, 'link_level': {}, 'path_level': {}}","{'node_level': {1: {'cpu': 0}, 4: {'cpu': 0}, 6: {'cpu': 0}, 2: {'cpu': 0}, 0: {'cpu': 0}, 3: {'cpu': 0}, 7: {'cpu': 0}, 5: {'cpu': 0}}, 'link_level': {}, 'path_level': {}}",[],0.0,0.0,True,False,False,0,[],0,0.0,"OrderedDict([((2, 4), 0), ((3, 7), 0), ((1, 5), 0), ((0, 1), 0), ((3, 4), 0), ((1, 3), 0)])",0.0,0.0,8.0,6.0
4,2,2,723.0,1266.0,971761.9739888342,1694869.4668336746,0.5710900473933649,0.5733550535925712,10,3,1,58.0,43272.0,7398,35874.0,0.024010554089709757,0.029330591482223056,3,130.28381384066654,58.0,4,4,True,"{0: np.int64(11), 2: np.int64(61), 3: np.int64(51), 1: np.int64(83)}","{(0, 2): [(np.int64(11), 91), (91, 29), (29, np.int64(61))], (1, 3): [(np.int64(83), 80), (80, np.int64(51))], (2, 3): [(np.int64(61), 51)], (0, 1): [(np.int64(11), 83)]}","{(0, np.int64(11)): {'cpu': 16}, (2, np.int64(61)): {'cpu': 11}, (3, np.int64(51)): {'cpu': 17}, (1, np.int64(83)): {'cpu': 10}}","{((0, 2), (np.int64(11), 91)): {'bw': 39.0}, ((0, 2), (91, 29)): {'bw': 39.0}, ((0, 2), (29, np.int64(61))): {'bw': 39.0}, ((1, 3), (np.int64(83), 80)): {'bw': 16.0}, ((1, 3), (80, np.int64(51))): {'bw': 16.0}, ((2, 3), (np.int64(61), 51)): {'bw': 8.0}, ((0, 1), (np.int64(11), 83)): {'bw': 2.0}}",213.0,119.0,119.0,54.0,65.0,54.0,65.0,54.0,159.0,94.0,0.5586854460093896,27750.452348061972,15503.773847039318,72.78767064337707,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -64}, 2: {'cpu': -67}, 3: {'cpu': -65}, 1: {'cpu': -69}}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 0}, 1: {'cpu': 0}}, 'link_level': {}, 'path_level': {}}",[],0.0,0.0,True,True,False,0,[],0,0.0,"OrderedDict([((0, 2), 0), ((1, 3), 0), ((2, 3), 0), ((0, 1), 0)])",0.0,0.0,4.0,4.0
5,2,2,723.0,1266.0,971761.9739888342,1694869.4668336746,0.5710900473933649,0.5733550535925712,10,4,1,70.0,43272.0,7398,35874.0,0.024010554089709757,0.029330591482223056,4,1056.8178906254595,70.0,10,23,False,"{1: np.int64(61), 2: np.int64(11), 5: np.int64(49), 7: np.int64(39), 4: np.int64(40), 6: np.int64(66), 9: np.int64(41), 3: np.int64(60), 0: np.int64(80), 8: np.int64(46)}","{(2, 3): [(np.int64(11), 49), (49, np.int64(60))], (3, 7): [(np.int64(60), 39)], (5, 7): [(np.int64(49), 39)], (1, 8): [(np.int64(61), 45), (45, np.int64(46))]}","{(1, np.int64(61)): {'cpu': 18}, (2, np.int64(11)): {'cpu': 19}, (5, np.int64(49)): {'cpu': 9, 'nic_slots': 1}, (7, np.int64(39)): {'cpu': 14, 'nic_slots': 2}, (4, np.int64(40)): {'cpu': 18}, (6, np.int64(66)): {'cpu': 14}, (9, np.int64(41)): {'cpu': 4}, (3, np.int64(60)): {'cpu': 2, 'nic_slots': 1}, (0, np.int64(80)): {'cpu': 6}, (8, np.int64(46)): {'cpu': 1}}","{((2, 3), (np.int64(11), 49)): {'bw': 45.0}, ((2, 3), (49, np.int64(60))): {'bw': 45.0}, ((3, 7), (np.int64(60), 39)): {'bw': 47.0}, ((5, 7), (np.int64(49), 39)): {'bw': 42.0}, ((1, 8), (np.int64(61), 45)): {'bw': 43.0}, ((1, 8), (45, np.int64(46))): {'bw': 43.0}}",0.0,0.0,733.0,105.0,628.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {1: {'cpu': -49}, 2: {'cpu': -45}, 5: {'cpu': -87}, 7: {'cpu': -38}, 4: {'cpu': -48}, 6: {'cpu': -52}, 9: {'cpu': -80}, 3: {'cpu': -69}, 0: {'cpu': -62}, 8: {'cpu': -64}}, 'link_level': {}, 'path_level': {}}","{'node_level': {1: {'cpu': 0}, 2: {'cpu': 0}, 5: {'cpu': 0}, 7: {'cpu': 0}, 4: {'cpu': 0}, 6: {'cpu': 0}, 9: {'cpu': 0}, 3: {'cpu': 0}, 0: {'cpu': 0}, 8: {'cpu': 0}}, 'link_level': {}, 'path_level': {}}",[],0.0,0.0,True,False,False,0,[],0,0.0,"OrderedDict([((2, 3), 0), ((3, 7), 1), ((5, 7), 1), ((1, 8), 0)])",0.0,2.0,10.0,4.0
6,2,2,723.0,1266.0,971761.9739888342,1694869.4668336746,0.5710900473933649,0.5733550535925712,10,5,1,83.0,43272.0,7398,35874.0,0.024010554089709757,0.029330591482223056,5,448.85271033200013,83.0,9,21,False,"{0: np.int64(61), 1: np.int64(11), 4: np.int64(39), 3: np.int64(49), 6: np.int64(40), 8: np.int64(60), 2: np.int64(66)}",{},"{(0, np.int64(61)): {'cpu': 13}, (1, np.int64(11)): {'cpu': 14}, (4, np.int64(39)): {'cpu': 11}, (3, np.int64(49)): {'cpu': 13}, (6, np.int64(40)): {'cpu': 14}, (8, np.int64(60)): {'cpu': 8}, (2, np.int64(66)): {'cpu': 6}}",{},0.0,0.0,560.0,85.0,475.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Place Failure,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -54}, 1: {'cpu': -50}, 4: {'cpu': -41}, 3: {'cpu': -83}, 6: {'cpu': -52}, 8: {'cpu': -63}, 2: {'cpu': -60}}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 4: {'cpu': 0}, 3: {'cpu': 0}, 6: {'cpu': 0}, 8: {'cpu': 0}, 2: {'cpu': 0}}, 'link_level': {}, 'path_level': {}}",[],0.0,0.0,False,True,False,0,[],0,0.0,,,,7.0,0.0
7,3,3,874.0,1601.0,1088227.100593138,1953252.3636048122,0.5459088069956277,0.5571359445764436,12,6,1,99.0,42937.0,7352,35585.0,0.030079155672823266,0.03715027869473453,6,771.2922291675746,99.0,4,5,True,"{1: np.int64(61), 0: np.int64(11), 3: np.int64(39), 2: np.int64(82)}","{(0, 1): [(np.int64(11), 49), (49, 60), (60, 29), (29, np.int64(61))], (0, 3): [(np.int64(11), 49), (49, np.int64(39))], (2, 3): [(np.int64(82), 39)], (1, 2): [(np.int64(61), 29), (29, np.int64(82))], (0, 2): [(np.int64(11), 82)]}","{(1, np.int64(61)): {'cpu': 12}, (0, np.int64(11)): {'cpu': 8}, (3, np.int64(39)): {'cpu': 15}, (2, np.int64(82)): {'cpu': 11}}","{((0, 1), (np.int64(11), 49)): {'bw': 50.0}, ((0, 1), (49, 60)): {'bw': 50.0}, ((0, 1), (60, 29)): {'bw': 50.0}, ((0, 1), (29, np.int64(61))): {'bw': 50.0}, ((0, 3), (np.int64(11), 49)): {'bw': 25.0}, ((0, 3), (49, np.int64(39))): {'bw': 25.0}, ((2, 3), (np.int64(82), 39)): {'bw': 15.0}, ((1, 2), (np.int64(61), 29)): {'bw': 9.0}, ((1, 2), (29, np.int64(82))): {'bw': 9.0}, ((0, 2), (np.int64(11), 82)): {'bw': 6.0}}",335.0,151.0,151.0,46.0,105.0,46.0,105.0,46.0,289.0,184.0,0.4507462686567164,258382.89677113752,116465.12660430378,347.65709434120527,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {1: {'cpu': -55}, 0: {'cpu': -56}, 3: {'cpu': -37}, 2: {'cpu': -43}}, 'link_level': {}, 'path_level': {}}","{'node_level': {1: {'cpu': 0}, 0: {'cpu': 0}, 3: {'cpu': 0}, 2: {'cpu': 0}}, 'link_level': {}, 'path_level': {}}",[],0.0,0.0,True,True,False,0,[],0,0.0,"OrderedDict([((0, 1), 0), ((0, 3), 0), ((2, 3), 0), ((1, 2), 0), ((0, 2), 0)])",1.0,0.0,4.0,5.0
8,4,4,983.0,1777.0,1129625.0643900814,2020096.782212721,0.5531795160382668,0.5591935368327958,13,7,1,114.0,42761.0,7310,35451.0,0.03562005277044855,0.040776016018182815,7,379.79783299948133,114.0,3,2,True,"{0: np.int64(40), 1: np.int64(66), 2: np.int64(41)}","{(0, 1): [(np.int64(40), 71), (71, np.int64(66))], (0, 2): [(np.int64(40), 80), (80, np.int64(41))]}","{(0, np.int64(40)): {'cpu': 19}, (1, np.int64(66)): {'cpu': 16}, (2, np.int64(41)): {'cpu': 7}}","{((0, 1), (np.int64(40), 71)): {'bw': 47.0}, ((0, 1), (71, np.int64(66))): {'bw': 47.0}, ((0, 2), (np.int64(40), 80)): {'bw': 20.0}, ((0, 2), (80, np.int64(41))): {'bw': 20.0}}",176.0,109.0,109.0,42.0,67.0,42.0,67.0,42.0,134.0,67.0,0.6193181818181818,66844.41860790871,41397.96379694346,235.21570339172422,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -47}, 1: {'cpu': -50}, 2: {'cpu': -77}}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}}, 'link_level': {}, 'path_level': {}}",[],0.0,0.0,True,True,False,0,[],0,0.0,"OrderedDict([((0, 1), 0), ((0, 2), 0)])",1.0,0.0,3.0,2.0
9,5,5,1221.0,2221.0,1540310.8751326439,2786250.1434299382,0.5497523638000901,0.5528257679105888,19,8,1,127.0,42317.0,7224,35093.0,0.04696569920844329,0.05046268737485793,8,1725.5706333721112,127.0,7,10,True,"{5: np.int64(46), 2: np.int64(65), 4: np.int64(98), 1: np.int64(51), 3: np.int64(90), 0: np.int64(63), 6: np.int64(31)}","{(2, 4): [(np.int64(65), 87), (87, np.int64(98))], (2, 3): [(np.int64(65), 95), (95, 30), (30, np.int64(90))], (2, 5): [(np.int64(65), 41), (41, 80), (80, np.int64(46))], (1, 5): [(np.int64(51), 46)], (4, 5): [(np.int64(98), 9), (9, 53), (53, np.int64(46))], (4, 6): [(np.int64(98), 42), (42, np.int64(31))], (0, 1): [(np.int64(63), 18), (18, 24), (24, np.int64(51))], (0, 5): [(np.int64(63), 40), (40, 80), (80, np.int64(46))], (1, 6): [(np.int64(51), 91), (91, 38), (38, np.int64(31))], (0, 3): [(np.int64(63), 60), (60, np.int64(90))]}","{(5, np.int64(46)): {'cpu': 19}, (2, np.int64(65)): {'cpu': 14}, (4, np.int64(98)): {'cpu': 15}, (1, np.int64(51)): {'cpu': 14}, (3, np.int64(90)): {'cpu': 9}, (0, np.int64(63)): {'cpu': 12}, (6, np.int64(31)): {'cpu': 3}}","{((2, 4), (np.int64(65), 87)): {'bw': 42.0}, ((2, 4), (87, np.int64(98))): {'bw': 42.0}, ((2, 3), (np.int64(65), 95)): {'bw': 25.0}, ((2, 3), (95, 30)): {'bw': 25.0}, ((2, 3), (30, np.int64(90))): {'bw': 25.0}, ((2, 5), (np.int64(65), 41)): {'bw': 21.0}, ((2, 5), (41, 80)): {'bw': 21.0}, ((2, 5), (80, np.int64(46))): {'bw': 21.0}, ((1, 5), (np.int64(51), 46)): {'bw': 21.0}, ((4, 5), (np.int64(98), 9)): {'bw': 22.0}, ((4, 5), (9, 53)): {'bw': 22.0}, ((4, 5), (53, np.int64(46))): {'bw': 22.0}, ((4, 6), (np.int64(98), 42)): {'bw': 11.0}, ((4, 6), (42, np.int64(31))): {'bw': 11.0}, ((0, 1), (np.int64(63), 18)): {'bw': 2.0}, ((0, 1), (18, 24)): {'bw': 2.0}, ((0, 1), (24, np.int64(51))): {'bw': 2.0}, ((0, 5), (np.int64(63), 40)): {'bw': 4.0}, ((0, 5), (40, 80)): {'bw': 4.0}, ((0, 5), (80, np.int64(46))): {'bw': 4.0}, ((1, 6), (np.int64(51), 91)): {'bw': 1.0}, ((1, 6), (91, 38)): {'bw': 1.0}, ((1, 6), (38, np.int64(31))): {'bw': 1.0}, ((0, 3), (np.int64(63), 60)): {'bw': 3.0}, ((0, 3), (60, np.int64(90))): {'bw': 3.0}}",444.0,238.0,238.0,86.0,152.0,86.0,152.0,86.0,358.0,206.0,0.536036036036036,766153.3612172174,410685.81074256246,924.9680422129784,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {5: {'cpu': -46}, 2: {'cpu': -79}, 4: {'cpu': -70}, 1: {'cpu': -51}, 3: {'cpu': -67}, 0: {'cpu': -57}, 6: {'cpu': -52}}, 'link_level': {}, 'path_level': {}}","{'node_level': {5: {'cpu': 0}, 2: {'cpu': 0}, 4: {'cpu': 0}, 1: {'cpu': 0}, 3: {'cpu': 0}, 0: {'cpu': 0}, 6: {'cpu': 0}}, 'link_level': {}, 'path_level': {}}",[],0.0,0.0,True,True,False,0,[],0,0.0,"OrderedDict([((2, 4), 0), ((2, 3), 0), ((2, 5), 0), ((1, 5), 0), ((4, 5), 0), ((4, 6), 0), ((0, 1), 0), ((0, 5), 0), ((1, 6), 0), ((0, 3), 0)])",1.0,0.0,7.0,10.0
10,6,6,1458.0,2667.0,1641694.3542656861,2977039.3066929625,0.5466816647919011,0.5514520250286378,19,9,1,133.0,41871.0,7175,34696.0,0.05343007915567277,0.061204610639103874,9,427.7783929664227,133.0,6,9,True,"{3: np.int64(61), 0: np.int64(34), 4: np.int64(51), 1: np.int64(83), 2: np.int64(36), 5: np.int64(11)}","{(3, 4): [(np.int64(61), 51)], (1, 4): [(np.int64(83), 81), (81, np.int64(51))], (0, 4): [(np.int64(34), 23), (23, 91), (91, np.int64(51))], (0, 3): [(np.int64(34), 32), (32, 57), (57, np.int64(61))], (0, 1): [(np.int64(34), 72), (72, np.int64(83))], (0, 2): [(np.int64(34), 5), (5, 30), (30, np.int64(36))], (1, 5): [(np.int64(83), 11)], (4, 5): [(np.int64(51), 80), (80, np.int64(11))], (2, 3): [(np.int64(36), 61)]}","{(3, np.int64(61)): {'cpu': 16}, (0, np.int64(34)): {'cpu': 10}, (4, np.int64(51)): {'cpu': 4}, (1, np.int64(83)): {'cpu': 4}, (2, np.int64(36)): {'cpu': 10}, (5, np.int64(11)): {'cpu': 5}}","{((3, 4), (np.int64(61), 51)): {'bw': 40.0}, ((1, 4), (np.int64(83), 81)): {'bw': 38.0}, ((1, 4), (81, np.int64(51))): {'bw': 38.0}, ((0, 4), (np.int64(34), 23)): {'bw': 34.0}, ((0, 4), (23, 91)): {'bw': 34.0}, ((0, 4), (91, np.int64(51))): {'bw': 34.0}, ((0, 3), (np.int64(34), 32)): {'bw': 28.0}, ((0, 3), (32, 57)): {'bw': 28.0}, ((0, 3), (57, np.int64(61))): {'bw': 28.0}, ((0, 1), (np.int64(34), 72)): {'bw': 14.0}, ((0, 1), (72, np.int64(83))): {'bw': 14.0}, ((0, 2), (np.int64(34), 5)): {'bw': 13.0}, ((0, 2), (5, 30)): {'bw': 13.0}, ((0, 2), (30, np.int64(36))): {'bw': 13.0}, ((1, 5), (np.int64(83), 11)): {'bw': 7.0}, ((4, 5), (np.int64(51), 80)): {'bw': 7.0}, ((4, 5), (80, np.int64(11))): {'bw': 7.0}, ((2, 3), (np.int64(36), 61)): {'bw': 7.0}}",446.0,237.0,237.0,49.0,188.0,49.0,188.0,49.0,397.0,209.0,0.531390134529148,190789.16326302453,101383.47913304219,227.31721778709007,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {3: {'cpu': -39}, 0: {'cpu': -77}, 4: {'cpu': -47}, 1: {'cpu': -65}, 2: {'cpu': -67}, 5: {'cpu': -51}}, 'link_level': {}, 'path_level': {}}","{'node_level': {3: {'cpu': 0}, 0: {'cpu': 0}, 4: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 5: {'cpu': 0}}, 'link_level': {}, 'path_level': {}}",[],0.0,0.0,True,True,False,0,[],0,0.0,"OrderedDict([((3, 4), 0), ((1, 4), 0), ((0, 4), 0), ((0, 3), 0), ((0, 1), 0), ((0, 2), 0), ((1, 5), 0), ((4, 5), 0), ((2, 3), 0)])",0.0,0.0,6.0,9.0
